"REF_DATE","GEO","DGUID","Impact of extreme weather events and natural disasters","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2023","Toronto, Ontario","2016S0503535","Time to recover from the event: Other","Percent","239","units","0","v1675437735","28.40","","F","","","0"
"2023","Toronto, Ontario","2016S0503535","Still recovering from the event","Percent","239","units","0","v1675437736","28.41","","F","","","0"
"2023","Toronto, Ontario","2016S0503535","Received an alert for the event","Percent","239","units","0","v1675437737","28.42","39","","","","0"
"2023","Toronto, Ontario","2016S0503535","Less than 1 hour before the event","Percent","239","units","0","v1675437738","28.43","","F","","","0"
"2023","Toronto, Ontario","2016S0503535","Between 1 hour and less than 1 day before the event","Percent","239","units","0","v1675437739","28.44","31","","","","0"
"2023","Toronto, Ontario","2016S0503535","Between 1 day and less than 1 week before the event","Percent","239","units","0","v1675437740","28.45","44","","","","0"
"2023","Toronto, Ontario","2016S0503535","One week or more before the event","Percent","239","units","0","v1675437741","28.46","","F","","","0"
"2023","Toronto, Ontario","2016S0503535","After the event had started","Percent","239","units","0","v1675437742","28.47","19","E","","","0"
"2023","Toronto, Ontario","2016S0503535","Received a phone notification","Percent","239","units","0","v1675437743","28.48","41","","","","0"
"2023","Toronto, Ontario","2016S0503535","Received an alert via television","Percent","239","units","0","v1675437744","28.49","57","","","","0"
"2023","Toronto, Ontario","2016S0503535","Received an alert on the radio","Percent","239","units","0","v1675437745","28.50","28","","","","0"
"2023","Toronto, Ontario","2016S0503535","Received an alert on social media","Percent","239","units","0","v1675437746","28.51","35","","","","0"
"2023","Toronto, Ontario","2016S0503535","Received an alert via a sign on the highway while driving","Percent","239","units","0","v1675437747","28.52","","F","","","0"
"2023","Toronto, Ontario","2016S0503535","Received an alert from a family member or friend","Percent","239","units","0","v1675437748","28.53","19","E","","","0"
"2023","Toronto, Ontario","2016S0503535","Received an alert via an app","Percent","239","units","0","v1675437749","28.54","28","","","","0"
"2023","Toronto, Ontario","2016S0503535","Received an alert via a website","Percent","239","units","0","v1675437750","28.55","20","E","","","0"
"2023","Toronto, Ontario","2016S0503535","Received an alert from another source","Percent","239","units","0","v1675437751","28.56","","F","","","0"
"2023","Toronto, Ontario","2016S0503535","Did not receive an alert for the event","Percent","239","units","0","v1675437752","28.57","44","","","","0"
"2023","Toronto, Ontario","2016S0503535","Had not been affected by an extreme weather event or natural disaster in the past 12 months","Percent","239","units","0","v1675437753","28.58","82","","","","0"
"2023","Toronto, Ontario","2016S0503535","Prefer to receive a phone notification","Percent","239","units","0","v1675437754","28.59","66","","","","0"
"2023","Toronto, Ontario","2016S0503535","Prefer to receive an alert via television","Percent","239","units","0","v1675437755","28.60","15","","","","0"
"2023","Toronto, Ontario","2016S0503535","Prefer to receive an alert on the radio","Percent","239","units","0","v1675437756","28.61","3","","","","0"
"2023","Toronto, Ontario","2016S0503535","Prefer to receive an alert on social media","Percent","239","units","0","v1675437757","28.62","5","","","","0"
"2023","Toronto, Ontario","2016S0503535","Prefer to receive an alert via a sign on the highway while driving","Percent","239","units","0","v1675437758","28.63","","F","","","0"
"2023","Toronto, Ontario","2016S0503535","Prefer to receive an alert from a family member or friend","Percent","239","units","0","v1675437759","28.64","","F","","","0"
"2023","Toronto, Ontario","2016S0503535","Prefer to receive an alert via an app","Percent","239","units","0","v1675437760","28.65","5","","","","0"
"2023","Toronto, Ontario","2016S0503535","Prefer to receive an alert via a website","Percent","239","units","0","v1675437761","28.66","3","","","","0"
"2023","Toronto, Ontario","2016S0503535","Prefer to receive an alert from another source","Percent","239","units","0","v1675437762","28.67","","F","","","0"
"2023","Calgary, Alberta","2016S0503825","Had been affected by an extreme weather event or natural disaster in the past 12 months","Percent","239","units","0","v1675438634","42.1","36","","","","0"
"2023","Calgary, Alberta","2016S0503825","Had been affected by an extreme weather event or natural disaster in the past 12 months at their primary residence","Percent","239","units","0","v1675438635","42.2","94","","","","0"
"2023","Calgary, Alberta","2016S0503825","Had been affected by an extreme weather event or natural disaster in the past 12 months at their secondary residence","Percent","239","units","0","v1675438636","42.3","","F","","","0"
"2023","Calgary, Alberta","2016S0503825","Had been affected by an extreme weather event or natural disaster in the past 12 months at both their primary and secondary residences","Percent","239","units","0","v1675438637","42.4","","F","","","0"
"2023","Calgary, Alberta","2016S0503825","Had been affected by an extreme weather event or natural disaster in the past 12 months elsewhere in Canada","Percent","239","units","0","v1675438638","42.5","","F","","","0"
"2023","Calgary, Alberta","2016S0503825","Had been affected by an extreme weather event or natural disaster in the past 12 months somewhere outside of Canada","Percent","239","units","0","v1675438639","42.6","","F","","","0"
"2023","Calgary, Alberta","2016S0503825","Nature of the event: Heavy rain","Percent","239","units","0","v1675438640","42.7","28","","","","0"
"2023","Calgary, Alberta","2016S0503825","Nature of the event: River flooding","Percent","239","units","0","v1675438641","42.8","","F","","","0"
"2023","Calgary, Alberta","2016S0503825","Nature of the event: A storm","Percent","239","units","0","v1675438642","42.9","27","","","","0"
"2023","Calgary, Alberta","2016S0503825","Nature of the event: Strong winds","Percent","239","units","0","v1675438643","42.10","30","","","","0"
"2023","Calgary, Alberta","2016S0503825","Nature of the event: A winter storm, blizzard, or ice storm","Percent","239","units","0","v1675438644","42.11","29","","","","0"
"2023","Calgary, Alberta","2016S0503825","Nature of the event: Extreme cold","Percent","239","units","0","v1675438645","42.12","41","","","","0"
"2023","Calgary, Alberta","2016S0503825","Nature of the event: Extreme heat","Percent","239","units","0","v1675438646","42.13","37","","","","0"
"2023","Calgary, Alberta","2016S0503825","Nature of the event: A hurricane","Percent","239","units","0","v1675438647","42.14","","F","","","0"
"2023","Calgary, Alberta","2016S0503825","Nature of the event: A tornado","Percent","239","units","0","v1675438648","42.15","","F","","","0"
"2023","Calgary, Alberta","2016S0503825","Nature of the event: Poor air quality, such as smoke or smog","Percent","239","units","0","v1675438649","42.16","81","","","","0"
"2023","Calgary, Alberta","2016S0503825","Nature of the event: A forest fire, wildfire, or grass fire","Percent","239","units","0","v1675438650","42.17","22","","","","0"
"2023","Calgary, Alberta","2016S0503825","Nature of the event: A landslide, avalanche, or sinkhole","Percent","239","units","0","v1675438651","42.18","","F","","","0"
"2023","Calgary, Alberta","2016S0503825","Nature of the event: An earthquake","Percent","239","units","0","v1675438652","42.19","","F","","","0"
"2023","Calgary, Alberta","2016S0503825","Nature of the event: Another type of event","Percent","239","units","0","v1675438653","42.20","","F","","","0"
"2023","Calgary, Alberta","2016S0503825","Impacted by the event","Percent","239","units","0","v1675438654","42.21","99","","","","0"
"2023","Calgary, Alberta","2016S0503825","Impact of the event: Lost power for a short period of time (less than 24 hours)","Percent","239","units","0","v1675438655","42.22","21","","","","0"
"2023","Calgary, Alberta","2016S0503825","Impact of the event: Lost power for a longer period of time (one day or longer)","Percent","239","units","0","v1675438656","42.23","","F","","","0"
"2023","Calgary, Alberta","2016S0503825","Impact of the event: Had to throw out food","Percent","239","units","0","v1675438657","42.24","","F","","","0"
"2023","Calgary, Alberta","2016S0503825","Impact of the event: Water damage","Percent","239","units","0","v1675438658","42.25","","F","","","0"
"2023","Calgary, Alberta","2016S0503825","Impact of the event: Some damage to house","Percent","239","units","0","v1675438659","42.26","18","","","","0"
"2023","Calgary, Alberta","2016S0503825","Impact of the event: Complete loss of house","Percent","239","units","0","v1675438660","42.27","","F","","","0"
"2023","Calgary, Alberta","2016S0503825","Impact of the event: Poor air quality","Percent","239","units","0","v1675438661","42.28","85","","","","0"
"2023","Calgary, Alberta","2016S0503825","Impact of the event: Road closures","Percent","239","units","0","v1675438662","42.29","","F","","","0"
"2023","Calgary, Alberta","2016S0503825","Impact of the event: Interruption to drinking water","Percent","239","units","0","v1675438663","42.30","16","","","","0"
"2023","Calgary, Alberta","2016S0503825","Impact of the event: Property flooded","Percent","239","units","0","v1675438664","42.31","","F","","","0"
"2023","Calgary, Alberta","2016S0503825","Impact of the event: Damage to family vehicles","Percent","239","units","0","v1675438665","42.32","","F","","","0"
"2023","Calgary, Alberta","2016S0503825","Impact of the event: Household member injured or killed","Percent","239","units","0","v1675438666","42.33","","F","","","0"
"2023","Calgary, Alberta","2016S0503825","Impact of the event: Other","Percent","239","units","0","v1675438667","42.34","","F","","","0"
"2023","Calgary, Alberta","2016S0503825","Not impacted by the event","Percent","239","units","0","v1675438668","42.35","","F","","","0"
"2023","Calgary, Alberta","2016S0503825","Time to recover from the event: Same day","Percent","239","units","0","v1675438669","42.36","17","","","","0"
"2023","Calgary, Alberta","2016S0503825","Time to recover from the event: Days","Percent","239","units","0","v1675438670","42.37","43","","","","0"
"2023","Calgary, Alberta","2016S0503825","Time to recover from the event: Weeks","Percent","239","units","0","v1675438671","42.38","24","","","","0"
"2023","Calgary, Alberta","2016S0503825","Time to recover from the event: Months","Percent","239","units","0","v1675438672","42.39","","F","","","0"
"2023","Calgary, Alberta","2016S0503825","Time to recover from the event: Other","Percent","239","units","0","v1675438673","42.40","","F","","","0"
"2023","Calgary, Alberta","2016S0503825","Still recovering from the event","Percent","239","units","0","v1675438674","42.41","","F","","","0"
"2023","Calgary, Alberta","2016S0503825","Received an alert for the event","Percent","239","units","0","v1675438675","42.42","57","","","","0"
"2023","Calgary, Alberta","2016S0503825","Less than 1 hour before the event","Percent","239","units","0","v1675438676","42.43","","F","","","0"
"2023","Calgary, Alberta","2016S0503825","Between 1 hour and less than 1 day before the event","Percent","239","units","0","v1675438677","42.44","37","","","","0"
"2023","Calgary, Alberta","2016S0503825","Between 1 day and less than 1 week before the event","Percent","239","units","0","v1675438678","42.45","","F","","","0"
"2023","Calgary, Alberta","2016S0503825","One week or more before the event","Percent","239","units","0","v1675438679","42.46","","F","","","0"
"2023","Calgary, Alberta","2016S0503825","After the event had started","Percent","239","units","0","v1675438680","42.47","34","","","","0"
"2023","Calgary, Alberta","2016S0503825","Received a phone notification","Percent","239","units","0","v1675438681","42.48","70","","","","0"
"2023","Calgary, Alberta","2016S0503825","Received an alert via television","Percent","239","units","0","v1675438682","42.49","42","","","","0"
"2023","Calgary, Alberta","2016S0503825","Received an alert on the radio","Percent","239","units","0","v1675438683","42.50","25","E","","","0"
"2023","Calgary, Alberta","2016S0503825","Received an alert on social media","Percent","239","units","0","v1675438684","42.51","","F","","","0"
"2023","Calgary, Alberta","2016S0503825","Received an alert via a sign on the highway while driving","Percent","239","units","0","v1675438685","42.52","","F","","","0"
"2023","Calgary, Alberta","2016S0503825","Received an alert from a family member or friend","Percent","239","units","0","v1675438686","42.53","","F","","","0"
"2023","Calgary, Alberta","2016S0503825","Received an alert via an app","Percent","239","units","0","v1675438687","42.54","19","E","","","0"
"2023","Calgary, Alberta","2016S0503825","Received an alert via a website","Percent","239","units","0","v1675438688","42.55","","F","","","0"
"2023","Calgary, Alberta","2016S0503825","Received an alert from another source","Percent","239","units","0","v1675438689","42.56","","F","","","0"
"2023","Calgary, Alberta","2016S0503825","Did not receive an alert for the event","Percent","239","units","0","v1675438690","42.57","23","","","","0"
"2023","Calgary, Alberta","2016S0503825","Had not been affected by an extreme weather event or natural disaster in the past 12 months","Percent","239","units","0","v1675438691","42.58","61","","","","0"
"2023","Calgary, Alberta","2016S0503825","Prefer to receive a phone notification","Percent","239","units","0","v1675438692","42.59","81","","","","0"
"2023","Calgary, Alberta","2016S0503825","Prefer to receive an alert via television","Percent","239","units","0","v1675438693","42.60","6","","","","0"
"2023","Calgary, Alberta","2016S0503825","Prefer to receive an alert on the radio","Percent","239","units","0","v1675438694","42.61","","F","","","0"
"2023","Calgary, Alberta","2016S0503825","Prefer to receive an alert on social media","Percent","239","units","0","v1675438695","42.62","","F","","","0"
"2023","Calgary, Alberta","2016S0503825","Prefer to receive an alert via a sign on the highway while driving","Percent","239","units","0","v1675438696","42.63","","F","","","0"
"2023","Calgary, Alberta","2016S0503825","Prefer to receive an alert from a family member or friend","Percent","239","units","0","v1675438697","42.64","","F","","","0"
"2023","Calgary, Alberta","2016S0503825","Prefer to receive an alert via an app","Percent","239","units","0","v1675438698","42.65","","F","","","0"
"2023","Calgary, Alberta","2016S0503825","Prefer to receive an alert via a website","Percent","239","units","0","v1675438699","42.66","","F","","","0"
"2023","Calgary, Alberta","2016S0503825","Prefer to receive an alert from another source","Percent","239","units","0","v1675438700","42.67","","F","","","0"
"2023","Vancouver, British Columbia","2016S0503933","Had been affected by an extreme weather event or natural disaster in the past 12 months","Percent","239","units","0","v1675438902","46.1","18","","","","0"
"2023","Vancouver, British Columbia","2016S0503933","Had been affected by an extreme weather event or natural disaster in the past 12 months at their primary residence","Percent","239","units","0","v1675438903","46.2","91","","","","0"
"2023","Vancouver, British Columbia","2016S0503933","Had been affected by an extreme weather event or natural disaster in the past 12 months at their secondary residence","Percent","239","units","0","v1675438904","46.3","","F","","","0"
"2023","Vancouver, British Columbia","2016S0503933","Had been affected by an extreme weather event or natural disaster in the past 12 months at both their primary and secondary residences","Percent","239","units","0","v1675438905","46.4","","F","","","0"
"2023","Vancouver, British Columbia","2016S0503933","Had been affected by an extreme weather event or natural disaster in the past 12 months elsewhere in Canada","Percent","239","units","0","v1675438906","46.5","","F","","","0"
"2023","Vancouver, British Columbia","2016S0503933","Had been affected by an extreme weather event or natural disaster in the past 12 months somewhere outside of Canada","Percent","239","units","0","v1675438907","46.6","","F","","","0"
"2023","Vancouver, British Columbia","2016S0503933","Nature of the event: Heavy rain","Percent","239","units","0","v1675438908","46.7","42","","","","0"
"2023","Vancouver, British Columbia","2016S0503933","Nature of the event: River flooding","Percent","239","units","0","v1675438909","46.8","","F","","","0"
"2023","Vancouver, British Columbia","2016S0503933","Nature of the event: A storm","Percent","239","units","0","v1675438910","46.9","17","E","","","0"
"2023","Vancouver, British Columbia","2016S0503933","Nature of the event: Strong winds","Percent","239","units","0","v1675438911","46.10","42","","","","0"
"2023","Vancouver, British Columbia","2016S0503933","Nature of the event: A winter storm, blizzard, or ice storm","Percent","239","units","0","v1675438912","46.11","19","","","","0"
"2023","Vancouver, British Columbia","2016S0503933","Nature of the event: Extreme cold","Percent","239","units","0","v1675438913","46.12","20","","","","0"
"2023","Vancouver, British Columbia","2016S0503933","Nature of the event: Extreme heat","Percent","239","units","0","v1675438914","46.13","47","","","","0"
"2023","Vancouver, British Columbia","2016S0503933","Nature of the event: A hurricane","Percent","239","units","0","v1675438915","46.14","","F","","","0"
"2023","Vancouver, British Columbia","2016S0503933","Nature of the event: A tornado","Percent","239","units","0","v1675438916","46.15","","F","","","0"
"2023","Vancouver, British Columbia","2016S0503933","Nature of the event: Poor air quality, such as smoke or smog","Percent","239","units","0","v1675438917","46.16","66","","","","0"
"2023","Vancouver, British Columbia","2016S0503933","Nature of the event: A forest fire, wildfire, or grass fire","Percent","239","units","0","v1675438918","46.17","15","E","","","0"
"2023","Vancouver, British Columbia","2016S0503933","Nature of the event: A landslide, avalanche, or sinkhole","Percent","239","units","0","v1675438919","46.18","","F","","","0"
"2023","Vancouver, British Columbia","2016S0503933","Nature of the event: An earthquake","Percent","239","units","0","v1675438920","46.19","","F","","","0"
"2023","Vancouver, British Columbia","2016S0503933","Nature of the event: Another type of event","Percent","239","units","0","v1675438921","46.20","","F","","","0"
"2023","Vancouver, British Columbia","2016S0503933","Impacted by the event","Percent","239","units","0","v1675438922","46.21","96","","","","0"
"2023","Vancouver, British Columbia","2016S0503933","Impact of the event: Lost power for a short period of time (less than 24 hours)","Percent","239","units","0","v1675438923","46.22","44","","","","0"
"2023","Vancouver, British Columbia","2016S0503933","Impact of the event: Lost power for a longer period of time (one day or longer)","Percent","239","units","0","v1675438924","46.23","","F","","","0"
"2023","Vancouver, British Columbia","2016S0503933","Impact of the event: Had to throw out food","Percent","239","units","0","v1675438925","46.24","","F","","","0"
"2023","Vancouver, British Columbia","2016S0503933","Impact of the event: Water damage","Percent","239","units","0","v1675438926","46.25","","F","","","0"
"2023","Vancouver, British Columbia","2016S0503933","Impact of the event: Some damage to house","Percent","239","units","0","v1675438927","46.26","","F","","","0"
"2023","Vancouver, British Columbia","2016S0503933","Impact of the event: Complete loss of house","Percent","239","units","0","v1675438928","46.27","","F","","","0"
"2023","Vancouver, British Columbia","2016S0503933","Impact of the event: Poor air quality","Percent","239","units","0","v1675438929","46.28","72","","","","0"
"2023","Vancouver, British Columbia","2016S0503933","Impact of the event: Road closures","Percent","239","units","0","v1675438930","46.29","14","E","","","0"
"2023","Vancouver, British Columbia","2016S0503933","Impact of the event: Interruption to drinking water","Percent","239","units","0","v1675438931","46.30","","F","","","0"
"2023","Vancouver, British Columbia","2016S0503933","Impact of the event: Property flooded","Percent","239","units","0","v1675438932","46.31","","F","","","0"
"2023","Vancouver, British Columbia","2016S0503933","Impact of the event: Damage to family vehicles","Percent","239","units","0","v1675438933","46.32","","F","","","0"
"2023","Vancouver, British Columbia","2016S0503933","Impact of the event: Household member injured or killed","Percent","239","units","0","v1675438934","46.33","","F","","","0"
"2023","Vancouver, British Columbia","2016S0503933","Impact of the event: Other","Percent","239","units","0","v1675438935","46.34","","F","","","0"
"2023","Vancouver, British Columbia","2016S0503933","Not impacted by the event","Percent","239","units","0","v1675438936","46.35","","F","","","0"
"2023","Vancouver, British Columbia","2016S0503933","Time to recover from the event: Same day","Percent","239","units","0","v1675438937","46.36","36","","","","0"
"2023","Vancouver, British Columbia","2016S0503933","Time to recover from the event: Days","Percent","239","units","0","v1675438938","46.37","45","","","","0"
"2023","Vancouver, British Columbia","2016S0503933","Time to recover from the event: Weeks","Percent","239","units","0","v1675438939","46.38","","F","","","0"
"2023","Vancouver, British Columbia","2016S0503933","Time to recover from the event: Months","Percent","239","units","0","v1675438940","46.39","","F","","","0"
"2023","Vancouver, British Columbia","2016S0503933","Time to recover from the event: Other","Percent","239","units","0","v1675438941","46.40","","F","","","0"
"2023","Vancouver, British Columbia","2016S0503933","Still recovering from the event","Percent","239","units","0","v1675438942","46.41","","F","","","0"
"2023","Vancouver, British Columbia","2016S0503933","Received an alert for the event","Percent","239","units","0","v1675438943","46.42","40","","","","0"
"2023","Vancouver, British Columbia","2016S0503933","Less than 1 hour before the event","Percent","239","units","0","v1675438944","46.43","","F","","","0"
"2023","Vancouver, British Columbia","2016S0503933","Between 1 hour and less than 1 day before the event","Percent","239","units","0","v1675438945","46.44","","F","","","0"
"2023","Vancouver, British Columbia","2016S0503933","Between 1 day and less than 1 week before the event","Percent","239","units","0","v1675438946","46.45","56","","","","0"
"2023","Vancouver, British Columbia","2016S0503933","One week or more before the event","Percent","239","units","0","v1675438947","46.46","","F","","","0"
"2023","Vancouver, British Columbia","2016S0503933","After the event had started","Percent","239","units","0","v1675438948","46.47","","F","","","0"
"2023","Vancouver, British Columbia","2016S0503933","Received a phone notification","Percent","239","units","0","v1675438949","46.48","30","E","","","0"
"2023","Vancouver, British Columbia","2016S0503933","Received an alert via television","Percent","239","units","0","v1675438950","46.49","52","","","","0"
"2023","Vancouver, British Columbia","2016S0503933","Received an alert on the radio","Percent","239","units","0","v1675438951","46.50","35","","","","0"
"2023","Vancouver, British Columbia","2016S0503933","Received an alert on social media","Percent","239","units","0","v1675438952","46.51","40","","","","0"
"2023","Vancouver, British Columbia","2016S0503933","Received an alert via a sign on the highway while driving","Percent","239","units","0","v1675438953","46.52","","F","","","0"
"2023","Vancouver, British Columbia","2016S0503933","Received an alert from a family member or friend","Percent","239","units","0","v1675438954","46.53","","F","","","0"
"2023","Vancouver, British Columbia","2016S0503933","Received an alert via an app","Percent","239","units","0","v1675438955","46.54","34","E","","","0"
"2023","Vancouver, British Columbia","2016S0503933","Received an alert via a website","Percent","239","units","0","v1675438956","46.55","","F","","","0"
"2023","Vancouver, British Columbia","2016S0503933","Received an alert from another source","Percent","239","units","0","v1675438957","46.56","","F","","","0"
"2023","Vancouver, British Columbia","2016S0503933","Did not receive an alert for the event","Percent","239","units","0","v1675438958","46.57","41","","","","0"
"2023","Vancouver, British Columbia","2016S0503933","Had not been affected by an extreme weather event or natural disaster in the past 12 months","Percent","239","units","0","v1675438959","46.58","79","","","","0"
"2023","Vancouver, British Columbia","2016S0503933","Prefer to receive a phone notification","Percent","239","units","0","v1675438960","46.59","72","","","","0"
"2023","Vancouver, British Columbia","2016S0503933","Prefer to receive an alert via television","Percent","239","units","0","v1675438961","46.60","7","","","","0"
"2023","Vancouver, British Columbia","2016S0503933","Prefer to receive an alert on the radio","Percent","239","units","0","v1675438962","46.61","4","","","","0"
"2023","Vancouver, British Columbia","2016S0503933","Prefer to receive an alert on social media","Percent","239","units","0","v1675438963","46.62","7","","","","0"
"2023","Vancouver, British Columbia","2016S0503933","Prefer to receive an alert via a sign on the highway while driving","Percent","239","units","0","v1675438964","46.63","","F","","","0"
"2023","Vancouver, British Columbia","2016S0503933","Prefer to receive an alert from a family member or friend","Percent","239","units","0","v1675438965","46.64","","F","","","0"
"2023","Vancouver, British Columbia","2016S0503933","Prefer to receive an alert via an app","Percent","239","units","0","v1675438966","46.65","4","","","","0"
"2023","Vancouver, British Columbia","2016S0503933","Prefer to receive an alert via a website","Percent","239","units","0","v1675438967","46.66","","F","","","0"
"2023","Vancouver, British Columbia","2016S0503933","Prefer to receive an alert from another source","Percent","239","units","0","v1675438968","46.67","","F","","","0"


