"REF_DATE","GEO","DGUID","Type of structure","Type of unit","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2020","Toronto, Ontario","2011S0503535","Apartment structures of three units and over","Bachelor units","Dollars","81","units","0","v3823907","125.1.1","1204","","","","0"
"2021","Toronto, Ontario","2011S0503535","Apartment structures of three units and over","Bachelor units","Dollars","81","units","0","v3823907","125.1.1","1217","","","","0"
"2022","Toronto, Ontario","2011S0503535","Apartment structures of three units and over","Bachelor units","Dollars","81","units","0","v3823907","125.1.1","1305","","","","0"
"2023","Toronto, Ontario","2011S0503535","Apartment structures of three units and over","Bachelor units","Dollars","81","units","0","v3823907","125.1.1","1414","","","","0"
"2024","Toronto, Ontario","2011S0503535","Apartment structures of three units and over","Bachelor units","Dollars","81","units","0","v3823907","125.1.1","1448","","","","0"
"2018","Toronto, Ontario","2011S0503535","Apartment structures of three units and over","One bedroom units","Dollars","81","units","0","v3824041","125.1.2","1261","","","","0"
"2019","Toronto, Ontario","2011S0503535","Apartment structures of three units and over","One bedroom units","Dollars","81","units","0","v3824041","125.1.2","1361","","","","0"
"2020","Toronto, Ontario","2011S0503535","Apartment structures of three units and over","One bedroom units","Dollars","81","units","0","v3824041","125.1.2","1421","","","","0"
"2021","Toronto, Ontario","2011S0503535","Apartment structures of three units and over","One bedroom units","Dollars","81","units","0","v3824041","125.1.2","1439","","","","0"
"2022","Toronto, Ontario","2011S0503535","Apartment structures of three units and over","One bedroom units","Dollars","81","units","0","v3824041","125.1.2","1526","","","","0"
"2023","Toronto, Ontario","2011S0503535","Apartment structures of three units and over","One bedroom units","Dollars","81","units","0","v3824041","125.1.2","1691","","","","0"
"2024","Toronto, Ontario","2011S0503535","Apartment structures of three units and over","One bedroom units","Dollars","81","units","0","v3824041","125.1.2","1715","","","","0"
"2018","Toronto, Ontario","2011S0503535","Apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v3824175","125.1.3","1467","","","","0"
"2019","Toronto, Ontario","2011S0503535","Apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v3824175","125.1.3","1562","","","","0"
"2020","Toronto, Ontario","2011S0503535","Apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v3824175","125.1.3","1635","","","","0"
"2021","Toronto, Ontario","2011S0503535","Apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v3824175","125.1.3","1679","","","","0"
"2022","Toronto, Ontario","2011S0503535","Apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v3824175","125.1.3","1779","","","","0"
"2023","Toronto, Ontario","2011S0503535","Apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v3824175","125.1.3","1961","","","","0"
"2024","Toronto, Ontario","2011S0503535","Apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v3824175","125.1.3","1974","","","","0"
"2018","Toronto, Ontario","2011S0503535","Apartment structures of three units and over","Three bedroom units","Dollars","81","units","0","v3824309","125.1.4","1633","","","","0"
"2019","Toronto, Ontario","2011S0503535","Apartment structures of three units and over","Three bedroom units","Dollars","81","units","0","v3824309","125.1.4","1732","","","","0"
"2020","Toronto, Ontario","2011S0503535","Apartment structures of three units and over","Three bedroom units","Dollars","81","units","0","v3824309","125.1.4","1848","","","","0"
"2021","Toronto, Ontario","2011S0503535","Apartment structures of three units and over","Three bedroom units","Dollars","81","units","0","v3824309","125.1.4","1907","","","","0"
"2022","Toronto, Ontario","2011S0503535","Apartment structures of three units and over","Three bedroom units","Dollars","81","units","0","v3824309","125.1.4","2038","","","","0"
"2023","Toronto, Ontario","2011S0503535","Apartment structures of three units and over","Three bedroom units","Dollars","81","units","0","v3824309","125.1.4","2191","","","","0"
"2024","Toronto, Ontario","2011S0503535","Apartment structures of three units and over","Three bedroom units","Dollars","81","units","0","v3824309","125.1.4","2225","","","","0"
"2018","Toronto, Ontario","2011S0503535","Apartment structures of six units and over","Bachelor units","Dollars","81","units","0","v3824443","125.4.1","1083","","","","0"
"2019","Toronto, Ontario","2011S0503535","Apartment structures of six units and over","Bachelor units","Dollars","81","units","0","v3824443","125.4.1","1150","","","","0"
"2020","Toronto, Ontario","2011S0503535","Apartment structures of six units and over","Bachelor units","Dollars","81","units","0","v3824443","125.4.1","1206","","","","0"
"2021","Toronto, Ontario","2011S0503535","Apartment structures of six units and over","Bachelor units","Dollars","81","units","0","v3824443","125.4.1","1217","","","","0"
"2022","Toronto, Ontario","2011S0503535","Apartment structures of six units and over","Bachelor units","Dollars","81","units","0","v3824443","125.4.1","1311","","","","0"
"2023","Toronto, Ontario","2011S0503535","Apartment structures of six units and over","Bachelor units","Dollars","81","units","0","v3824443","125.4.1","1415","","","","0"
"2024","Toronto, Ontario","2011S0503535","Apartment structures of six units and over","Bachelor units","Dollars","81","units","0","v3824443","125.4.1","1448","","","","0"
"2018","Toronto, Ontario","2011S0503535","Apartment structures of six units and over","One bedroom units","Dollars","81","units","0","v3824631","125.4.2","1263","","","","0"
"2019","Toronto, Ontario","2011S0503535","Apartment structures of six units and over","One bedroom units","Dollars","81","units","0","v3824631","125.4.2","1363","","","","0"
"2020","Toronto, Ontario","2011S0503535","Apartment structures of six units and over","One bedroom units","Dollars","81","units","0","v3824631","125.4.2","1424","","","","0"
"2021","Toronto, Ontario","2011S0503535","Apartment structures of six units and over","One bedroom units","Dollars","81","units","0","v3824631","125.4.2","1441","","","","0"
"2022","Toronto, Ontario","2011S0503535","Apartment structures of six units and over","One bedroom units","Dollars","81","units","0","v3824631","125.4.2","1529","","","","0"
"2023","Toronto, Ontario","2011S0503535","Apartment structures of six units and over","One bedroom units","Dollars","81","units","0","v3824631","125.4.2","1691","","","","0"
"2024","Toronto, Ontario","2011S0503535","Apartment structures of six units and over","One bedroom units","Dollars","81","units","0","v3824631","125.4.2","1714","","","","0"
"2018","Toronto, Ontario","2011S0503535","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v3824819","125.4.3","1468","","","","0"
"2019","Toronto, Ontario","2011S0503535","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v3824819","125.4.3","1562","","","","0"
"2020","Toronto, Ontario","2011S0503535","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v3824819","125.4.3","1636","","","","0"
"2021","Toronto, Ontario","2011S0503535","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v3824819","125.4.3","1681","","","","0"
"2022","Toronto, Ontario","2011S0503535","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v3824819","125.4.3","1780","","","","0"
"2023","Toronto, Ontario","2011S0503535","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v3824819","125.4.3","1971","","","","0"
"2024","Toronto, Ontario","2011S0503535","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v3824819","125.4.3","1979","","","","0"
"2018","Toronto, Ontario","2011S0503535","Apartment structures of six units and over","Three bedroom units","Dollars","81","units","0","v3825007","125.4.4","1628","","","","0"
"2019","Toronto, Ontario","2011S0503535","Apartment structures of six units and over","Three bedroom units","Dollars","81","units","0","v3825007","125.4.4","1734","","","","0"
"2020","Toronto, Ontario","2011S0503535","Apartment structures of six units and over","Three bedroom units","Dollars","81","units","0","v3825007","125.4.4","1834","","","","0"
"2021","Toronto, Ontario","2011S0503535","Apartment structures of six units and over","Three bedroom units","Dollars","81","units","0","v3825007","125.4.4","1891","","","","0"
"2022","Toronto, Ontario","2011S0503535","Apartment structures of six units and over","Three bedroom units","Dollars","81","units","0","v3825007","125.4.4","2034","","","","0"
"2023","Toronto, Ontario","2011S0503535","Apartment structures of six units and over","Three bedroom units","Dollars","81","units","0","v3825007","125.4.4","2203","","","","0"
"2024","Toronto, Ontario","2011S0503535","Apartment structures of six units and over","Three bedroom units","Dollars","81","units","0","v3825007","125.4.4","2221","","","","0"
"2018","Calgary, Alberta","2011S0503825","Row and apartment structures of three units and over","Bachelor units","Dollars","81","units","0","v3822814","146.3.1","877","","","","0"
"2019","Calgary, Alberta","2011S0503825","Row and apartment structures of three units and over","Bachelor units","Dollars","81","units","0","v3822814","146.3.1","898","","","","0"
"2020","Calgary, Alberta","2011S0503825","Row and apartment structures of three units and over","Bachelor units","Dollars","81","units","0","v3822814","146.3.1","881","","","","0"
"2021","Calgary, Alberta","2011S0503825","Row and apartment structures of three units and over","Bachelor units","Dollars","81","units","0","v3822814","146.3.1","919","","","","0"
"2022","Calgary, Alberta","2011S0503825","Row and apartment structures of three units and over","Bachelor units","Dollars","81","units","0","v3822814","146.3.1","972","","","","0"
"2023","Calgary, Alberta","2011S0503825","Row and apartment structures of three units and over","Bachelor units","Dollars","81","units","0","v3822814","146.3.1","1202","","","","0"
"2024","Calgary, Alberta","2011S0503825","Row and apartment structures of three units and over","Bachelor units","Dollars","81","units","0","v3822814","146.3.1","1360","","","","0"
"2018","Calgary, Alberta","2011S0503825","Row and apartment structures of three units and over","One bedroom units","Dollars","81","units","0","v3822948","146.3.2","1049","","","","0"
"2019","Calgary, Alberta","2011S0503825","Row and apartment structures of three units and over","One bedroom units","Dollars","81","units","0","v3822948","146.3.2","1079","","","","0"
"2020","Calgary, Alberta","2011S0503825","Row and apartment structures of three units and over","One bedroom units","Dollars","81","units","0","v3822948","146.3.2","1086","","","","0"
"2021","Calgary, Alberta","2011S0503825","Row and apartment structures of three units and over","One bedroom units","Dollars","81","units","0","v3822948","146.3.2","1111","","","","0"
"2022","Calgary, Alberta","2011S0503825","Row and apartment structures of three units and over","One bedroom units","Dollars","81","units","0","v3822948","146.3.2","1222","","","","0"
"2023","Calgary, Alberta","2011S0503825","Row and apartment structures of three units and over","One bedroom units","Dollars","81","units","0","v3822948","146.3.2","1463","","","","0"
"2024","Calgary, Alberta","2011S0503825","Row and apartment structures of three units and over","One bedroom units","Dollars","81","units","0","v3822948","146.3.2","1584","","","","0"
"2018","Calgary, Alberta","2011S0503825","Row and apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v3823082","146.3.3","1262","","","","0"
"2019","Calgary, Alberta","2011S0503825","Row and apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v3823082","146.3.3","1295","","","","0"
"2020","Calgary, Alberta","2011S0503825","Row and apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v3823082","146.3.3","1320","","","","0"
"2021","Calgary, Alberta","2011S0503825","Row and apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v3823082","146.3.3","1350","","","","0"
"2022","Calgary, Alberta","2011S0503825","Row and apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v3823082","146.3.3","1463","","","","0"
"2023","Calgary, Alberta","2011S0503825","Row and apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v3823082","146.3.3","1691","","","","0"
"2024","Calgary, Alberta","2011S0503825","Row and apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v3823082","146.3.3","1876","","","","0"
"2018","Calgary, Alberta","2011S0503825","Row and apartment structures of three units and over","Three bedroom units","Dollars","81","units","0","v3823216","146.3.4","1317","","","","0"
"2019","Calgary, Alberta","2011S0503825","Row and apartment structures of three units and over","Three bedroom units","Dollars","81","units","0","v3823216","146.3.4","1343","","","","0"
"2020","Calgary, Alberta","2011S0503825","Row and apartment structures of three units and over","Three bedroom units","Dollars","81","units","0","v3823216","146.3.4","1392","","","","0"
"2021","Calgary, Alberta","2011S0503825","Row and apartment structures of three units and over","Three bedroom units","Dollars","81","units","0","v3823216","146.3.4","1431","","","","0"
"2022","Calgary, Alberta","2011S0503825","Row and apartment structures of three units and over","Three bedroom units","Dollars","81","units","0","v3823216","146.3.4","1579","","","","0"
"2023","Calgary, Alberta","2011S0503825","Row and apartment structures of three units and over","Three bedroom units","Dollars","81","units","0","v3823216","146.3.4","1794","","","","0"
"2024","Calgary, Alberta","2011S0503825","Row and apartment structures of three units and over","Three bedroom units","Dollars","81","units","0","v3823216","146.3.4","1977","","","","0"
"2018","Calgary, Alberta","2011S0503825","Row structures of three units and over","Bachelor units","Dollars","81","units","0","v3823350","146.2.1","","F","","","0"
"2019","Calgary, Alberta","2011S0503825","Row structures of three units and over","Bachelor units","Dollars","81","units","0","v3823350","146.2.1","","F","","","0"
"2020","Calgary, Alberta","2011S0503825","Row structures of three units and over","Bachelor units","Dollars","81","units","0","v3823350","146.2.1","","F","","","0"
"2021","Calgary, Alberta","2011S0503825","Row structures of three units and over","Bachelor units","Dollars","81","units","0","v3823350","146.2.1","","F","","","0"
"2022","Calgary, Alberta","2011S0503825","Row structures of three units and over","Bachelor units","Dollars","81","units","0","v3823350","146.2.1","","F","","","0"
"2023","Calgary, Alberta","2011S0503825","Row structures of three units and over","Bachelor units","Dollars","81","units","0","v3823350","146.2.1","","F","","","0"
"2024","Calgary, Alberta","2011S0503825","Row structures of three units and over","Bachelor units","Dollars","81","units","0","v3823350","146.2.1","","F","","","0"
"2018","Calgary, Alberta","2011S0503825","Row structures of three units and over","One bedroom units","Dollars","81","units","0","v3823484","146.2.2","900","","","","0"
"2019","Calgary, Alberta","2011S0503825","Row structures of three units and over","One bedroom units","Dollars","81","units","0","v3823484","146.2.2","933","","","","0"
"2020","Calgary, Alberta","2011S0503825","Row structures of three units and over","One bedroom units","Dollars","81","units","0","v3823484","146.2.2","1001","","","","0"
"2021","Calgary, Alberta","2011S0503825","Row structures of three units and over","One bedroom units","Dollars","81","units","0","v3823484","146.2.2","992","","","","0"
"2022","Calgary, Alberta","2011S0503825","Row structures of three units and over","One bedroom units","Dollars","81","units","0","v3823484","146.2.2","1049","","","","0"
"2023","Calgary, Alberta","2011S0503825","Row structures of three units and over","One bedroom units","Dollars","81","units","0","v3823484","146.2.2","1142","","","","0"
"2024","Calgary, Alberta","2011S0503825","Row structures of three units and over","One bedroom units","Dollars","81","units","0","v3823484","146.2.2","1415","","","","0"
"2018","Calgary, Alberta","2011S0503825","Row structures of three units and over","Two bedroom units","Dollars","81","units","0","v3823618","146.2.3","1168","","","","0"
"2019","Calgary, Alberta","2011S0503825","Row structures of three units and over","Two bedroom units","Dollars","81","units","0","v3823618","146.2.3","1202","","","","0"
"2020","Calgary, Alberta","2011S0503825","Row structures of three units and over","Two bedroom units","Dollars","81","units","0","v3823618","146.2.3","1287","","","","0"
"2021","Calgary, Alberta","2011S0503825","Row structures of three units and over","Two bedroom units","Dollars","81","units","0","v3823618","146.2.3","1307","","","","0"
"2022","Calgary, Alberta","2011S0503825","Row structures of three units and over","Two bedroom units","Dollars","81","units","0","v3823618","146.2.3","1429","","","","0"
"2023","Calgary, Alberta","2011S0503825","Row structures of three units and over","Two bedroom units","Dollars","81","units","0","v3823618","146.2.3","1647","","","","0"
"2024","Calgary, Alberta","2011S0503825","Row structures of three units and over","Two bedroom units","Dollars","81","units","0","v3823618","146.2.3","1812","","","","0"
"2018","Calgary, Alberta","2011S0503825","Row structures of three units and over","Three bedroom units","Dollars","81","units","0","v3823752","146.2.4","1380","","","","0"
"2019","Calgary, Alberta","2011S0503825","Row structures of three units and over","Three bedroom units","Dollars","81","units","0","v3823752","146.2.4","1422","","","","0"
"2020","Calgary, Alberta","2011S0503825","Row structures of three units and over","Three bedroom units","Dollars","81","units","0","v3823752","146.2.4","1470","","","","0"
"2021","Calgary, Alberta","2011S0503825","Row structures of three units and over","Three bedroom units","Dollars","81","units","0","v3823752","146.2.4","1507","","","","0"
"2022","Calgary, Alberta","2011S0503825","Row structures of three units and over","Three bedroom units","Dollars","81","units","0","v3823752","146.2.4","1649","","","","0"
"2023","Calgary, Alberta","2011S0503825","Row structures of three units and over","Three bedroom units","Dollars","81","units","0","v3823752","146.2.4","1839","","","","0"
"2024","Calgary, Alberta","2011S0503825","Row structures of three units and over","Three bedroom units","Dollars","81","units","0","v3823752","146.2.4","1979","","","","0"
"2018","Calgary, Alberta","2011S0503825","Apartment structures of three units and over","Bachelor units","Dollars","81","units","0","v3823886","146.1.1","879","","","","0"
"2019","Calgary, Alberta","2011S0503825","Apartment structures of three units and over","Bachelor units","Dollars","81","units","0","v3823886","146.1.1","899","","","","0"
"2020","Calgary, Alberta","2011S0503825","Apartment structures of three units and over","Bachelor units","Dollars","81","units","0","v3823886","146.1.1","883","","","","0"
"2021","Calgary, Alberta","2011S0503825","Apartment structures of three units and over","Bachelor units","Dollars","81","units","0","v3823886","146.1.1","920","","","","0"
"2022","Calgary, Alberta","2011S0503825","Apartment structures of three units and over","Bachelor units","Dollars","81","units","0","v3823886","146.1.1","974","","","","0"
"2023","Calgary, Alberta","2011S0503825","Apartment structures of three units and over","Bachelor units","Dollars","81","units","0","v3823886","146.1.1","1204","","","","0"
"2024","Calgary, Alberta","2011S0503825","Apartment structures of three units and over","Bachelor units","Dollars","81","units","0","v3823886","146.1.1","1362","","","","0"
"2018","Calgary, Alberta","2011S0503825","Apartment structures of three units and over","One bedroom units","Dollars","81","units","0","v3824020","146.1.2","1050","","","","0"
"2019","Calgary, Alberta","2011S0503825","Apartment structures of three units and over","One bedroom units","Dollars","81","units","0","v3824020","146.1.2","1080","","","","0"
"2020","Calgary, Alberta","2011S0503825","Apartment structures of three units and over","One bedroom units","Dollars","81","units","0","v3824020","146.1.2","1087","","","","0"
"2021","Calgary, Alberta","2011S0503825","Apartment structures of three units and over","One bedroom units","Dollars","81","units","0","v3824020","146.1.2","1111","","","","0"
"2022","Calgary, Alberta","2011S0503825","Apartment structures of three units and over","One bedroom units","Dollars","81","units","0","v3824020","146.1.2","1222","","","","0"
"2023","Calgary, Alberta","2011S0503825","Apartment structures of three units and over","One bedroom units","Dollars","81","units","0","v3824020","146.1.2","1464","","","","0"
"2024","Calgary, Alberta","2011S0503825","Apartment structures of three units and over","One bedroom units","Dollars","81","units","0","v3824020","146.1.2","1585","","","","0"
"2018","Calgary, Alberta","2011S0503825","Apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v3824154","146.1.3","1272","","","","0"
"2019","Calgary, Alberta","2011S0503825","Apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v3824154","146.1.3","1305","","","","0"
"2020","Calgary, Alberta","2011S0503825","Apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v3824154","146.1.3","1323","","","","0"
"2021","Calgary, Alberta","2011S0503825","Apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v3824154","146.1.3","1355","","","","0"
"2022","Calgary, Alberta","2011S0503825","Apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v3824154","146.1.3","1466","","","","0"
"2023","Calgary, Alberta","2011S0503825","Apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v3824154","146.1.3","1695","","","","0"
"2024","Calgary, Alberta","2011S0503825","Apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v3824154","146.1.3","1882","","","","0"
"2018","Calgary, Alberta","2011S0503825","Apartment structures of three units and over","Three bedroom units","Dollars","81","units","0","v3824288","146.1.4","1244","","","","0"
"2019","Calgary, Alberta","2011S0503825","Apartment structures of three units and over","Three bedroom units","Dollars","81","units","0","v3824288","146.1.4","1255","","","","0"
"2020","Calgary, Alberta","2011S0503825","Apartment structures of three units and over","Three bedroom units","Dollars","81","units","0","v3824288","146.1.4","1296","","","","0"
"2021","Calgary, Alberta","2011S0503825","Apartment structures of three units and over","Three bedroom units","Dollars","81","units","0","v3824288","146.1.4","1347","","","","0"
